Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x5537b2c4f3109c93a667a3d1641213bbed3819803d0f15b08a5d53597e1c4c03","Success","Batch Transfer","22257477","2025-04-13 03:51:35","0x9B48701BA4fE346A5B6E497b8de8bfcc16D05999","","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","1","$0.00","<img src='/images/main/empty-token.png' width='18' height='18' class='rounded-circle'>ERC-20: AI Coin"
"0x64b399b793f271ae964fc0c0fa26eeb70840840d233efc2e369c5ae4675ac701","Success","Transfer","22152690","2025-03-29 12:54:23","0xf89d7b9c864f589bbF53a82105107622B35EaA40","Bybit: Hot Wallet","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","26.454508","$4.69","Movement (MOVE)"
"0x7ff8a7dec2d6c675335c813d12726a0e109a3296aaf6b3402e4773e0e9c3262b","Success","Batch Transfer","22128178","2025-03-26 02:45:47","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","0x38f6d5fb32f970Fe60924B282704899411126336","","5,000,000,000,000","$0.00","ERC-20"
"0x8debca8b1be821e52f4c86dcf0be3c726cc3f08158449329e3066e7aa5947134","Success","Batch Transfer","22056180","2025-03-16 01:31:59","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","0x38f6d5fb32f970Fe60924B282704899411126336","","6,000,000,000,000","$0.00","ERC-20"
"0x53e254083667155ba855c62d86d9cb96c1614689e107eb675b74c4c987ed7d35","Success","Execute","22031483","2025-03-12 14:48:11","0xf70FdF0B14D8D9b4bAc7FF549f0CABC987c1e01c","Uniswap V2: BABYUNO 2","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","47,989,365.15650365","$0.00","<img src='/images/main/empty-token.png' width='18' height='18' class='rounded-circle'>ERC-20: Bab...Uno"
"0xd7526f24e736fe5ae6b832759714edf40c65ba91aa28b5e1309195b79df0e792","Success","Transfer","21922430","2025-02-25 09:25:11","0xf89d7b9c864f589bbF53a82105107622B35EaA40","Bybit: Hot Wallet","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","611.11557278","$108.30","Movement (MOVE)"
"0x087b440103a72224dfe91a1d3e3a499098637e8b29226e6927cd69a88f07f631","Success","Batch Transfer","21735455","2025-01-30 06:06:59","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","0x38f6d5fb32f970Fe60924B282704899411126336","","4,500,000,000,000","$0.00","ERC-20"
"0xf722415efa72fa5bfa7c11ae1359b5c1e0cef32362d2c771c68222ece4cbaa74","Success","Execute","21729642","2025-01-29 10:38:59","0x2e475e42C13D5aC5F620747850Cc6aBb03375B81","Uniswap V2: XMEME 8","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","26,852,785,687","$0.00","<img src='/images/main/empty-token.png' width='18' height='18' class='rounded-circle'>ERC-20: X MEME"
"0x671af17d785cceca835c9ea86e4b7d887e95de9b6275b03705b381f67a95ada2","Success","Transfer","21705044","2025-01-26 00:15:35","0xB8001C3eC9AA1985f6c747E25c28324E4A361ec1","Cobo: Custody 1","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","43","$42.99","USDC (USDC)"
"0x2688de79fa65ba4c281c0917604597bc45395f7b671c2c405527bb974910b13c","Success","Batch Transfer","21652404","2025-01-18 15:55:11","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","0x38f6d5fb32f970Fe60924B282704899411126336","","3,500,000,000,000","$0.00","ERC-20"
"0x83e2aa9de0bfaa510d08d6ec260d28f569009a28f985c6149188fe2e94c3e6c7","Success","0xca350aa6","21648739","2025-01-18 03:39:11","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","Coinbase 10","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","2.74174479","$0.49","Movement (MOVE)"
"0xd6dc702ce7c7a2f87e1541a0d6adedfe2cfdae499f784e42daf3ae707e1f18f9","Success","Batch Transfer","21577152","2025-01-08 03:45:11","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","0x38f6d5fb32f970Fe60924B282704899411126336","","2,500,000,000,000","$0.00","ERC-20"
"0x332976ab41418583d2b8a5d7627b7c89908a74bf199fc3be73565f9ab7dd8b9c","Success","Batch Transfer","21494601","2024-12-27 15:09:59","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","0x38f6d5fb32f970Fe60924B282704899411126336","","2,800,000,000,000","$0.00","ERC-20"
"0x33126078e12672e74fe8cf9ba37893bfc8591cc2fe23ed74b76790366769670f","Success","Batch Transfer","21458447","2024-12-22 13:50:59","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","0x38f6d5fb32f970Fe60924B282704899411126336","","5,000,000,000,000","$0.00","ERC-20"
"0x204e7e98b407b14f52b7820c5c0422d87833d1fc3444e8d87af3de949c4ba760","Success","Batch Transfer","21451256","2024-12-21 13:43:23","0x3073f7aAA4DB83f95e9FFf17424F71D4751a3073","Movement: MOVE Token","0x38f6d5fb32f970Fe60924B282704899411126336","","8,200,000,000,000","$0.00","ERC-20"
